,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,description,website,market_cap,net_income_before_eo
445,CAMBW US Equity,CAMBRIDGE CAPITAL ACQUISITION CORPORATION,0.22,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/cambw,na,na,0,0
446,CAC US Equity,Camden National Corporation,37.75,$280.16M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cac,na,na,0,0
447,CAMT US Equity,Camtek Ltd.,3.07,$93.55M,2000,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/camt,na,na,0,0
448,CSIQ US Equity,Canadian Solar Inc.,28.95,$1.57B,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/csiq,na,na,0,0
449,CGIX US Equity,"Cancer Genetics, Inc.",8.95,$87.03M,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/cgix,na,na,0,0
450,CPHC US Equity,Canterbury Park Holding Corporation,10.4101,$43.74M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/cphc,na,na,0,0
451,CBNJ US Equity,"Cape Bancorp, Inc.",8.755,$100.47M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbnj,na,na,0,0
452,CPLA US Equity,Capella Education Company,65.37,$799.51M,2006,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/cpla,na,na,0,0
453,CBF US Equity,Capital Bank Financial Corp.,26.24,$1.25B,2012,Finance,Major Banks,http://www.nasdaq.com/symbol/cbf,na,na,0,0
454,CCBG US Equity,Capital City Bank Group,15.55,$271.08M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ccbg,na,na,0,0
455,CPLP US Equity,Capital Product Partners L.P.,9.3,$988.04M,2007,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/cplp,na,na,0,0
456,CSWC US Equity,Capital Southwest Corporation,48.93,$760.54M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cswc,na,na,0,0
457,CPTA US Equity,Capitala Finance Corp.,18.64,$241.84M,2013,n/a,n/a,http://www.nasdaq.com/symbol/cpta,na,na,0,0
458,CLAC US Equity,Capitol Acquisition Corp. II,9.88,$247M,2013,Finance,Business Services,http://www.nasdaq.com/symbol/clac,na,na,0,0
459,CLACU US Equity,Capitol Acquisition Corp. II,10,$250M,2013,Finance,Business Services,http://www.nasdaq.com/symbol/clacu,na,na,0,0
460,CLACW US Equity,Capitol Acquisition Corp. II,0.3,n/a,2013,Finance,Business Services,http://www.nasdaq.com/symbol/clacw,na,na,0,0
461,CFFN US Equity,"Capitol Federal Financial, Inc.",12.58,$1.77B,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cffn,na,na,0,0
462,CAPN US Equity,"Capnia, Inc.",5.45,$36.89M,2014,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/capn,na,na,0,0
463,CAPNW US Equity,"Capnia, Inc.",0.99,n/a,2014,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/capnw,na,na,0,0
464,CPST US Equity,Capstone Turbine Corporation,0.7009,$231.51M,2000,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cpst,na,na,0,0
465,CARA US Equity,"Cara Therapeutics, Inc.",10.91,$248.51M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cara,na,na,0,0
466,CARB US Equity,"Carbonite, Inc.",14.8,$402.84M,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/carb,na,na,0,0
467,CBYL US Equity,"Carbylan Therapeutics, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cbyl,na,na,0,0
468,CRDC US Equity,"Cardica, Inc.",0.59,$52.48M,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/crdc,na,na,0,0
469,CFNL US Equity,Cardinal Financial Corporation,19.35,$619.78M,1998,Finance,Major Banks,http://www.nasdaq.com/symbol/cfnl,na,na,0,0
470,CRME US Equity,Cardiome Pharma Corporation,9.94,$164.91M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crme,na,na,0,0
471,CSII US Equity,"Cardiovascular Systems, Inc.",35.31,$1.12B,1981,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/csii,na,na,0,0
472,CATM US Equity,"Cardtronics, Inc.",38.27,$1.7B,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/catm,na,na,0,0
473,CDNA US Equity,"CareDx, Inc.",6.1,$72M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/cdna,na,na,0,0
474,CECO US Equity,Career Education Corporation,5.27,$354.56M,1998,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/ceco,na,na,0,0
475,CTRE US Equity,"CareTrust REIT, Inc.",13.15,$415.08M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ctre,na,na,0,0
476,CKEC US Equity,"Carmike Cinemas, Inc.",31.52,$769.68M,n/a,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/ckec,na,na,0,0
477,CLBH US Equity,Carolina Bank Holdings Inc.,9.57,$32.87M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/clbh,na,na,0,0
478,CARO US Equity,Carolina Financial Corporation,13.85,$224.27M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/caro,na,na,0,0
479,CART US Equity,Carolina Trust Bank,5.55,$25.72M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cart,na,na,0,0
480,CRZO US Equity,"Carrizo Oil & Gas, Inc.",52.26,$2.41B,1997,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crzo,na,na,0,0
481,TAST US Equity,"Carrols Restaurant Group, Inc.",8.8,$309.96M,2006,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/tast,na,na,0,0
482,CRTN US Equity,"Cartesian, Inc.",3.89,$34.26M,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/crtn,na,na,0,0
483,CARV US Equity,"Carver Bancorp, Inc.",5.99,$22.14M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/carv,na,na,0,0
484,CASM US Equity,"CAS Medical Systems, Inc.",1.36,$26.5M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/casm,na,na,0,0
485,CACB US Equity,Cascade Bancorp,4.8,$347.91M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cacb,na,na,0,0
486,CSCD US Equity,"Cascade Microtech, Inc.",13.43,$219.87M,2004,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/cscd,na,na,0,0
487,CWST US Equity,"Casella Waste Systems, Inc.",4.14,$167.81M,1997,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/cwst,na,na,0,0
488,CASY US Equity,"Caseys General Stores, Inc.",91.15,$3.53B,1983,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/casy,na,na,0,0
489,CASI US Equity,"CASI Pharmaceuticals, Inc.",1.6501,$53.54M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/casi,na,na,0,0
490,CASS US Equity,"Cass Information Systems, Inc",49.25,$567.18M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cass,na,na,0,0
491,CPRX US Equity,"Catalyst Pharmaceutical Partners, Inc.",3.4,$274.1M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cprx,na,na,0,0
492,CTRX US Equity,Catamaran Corporation,52.69,$10.93B,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/ctrx,na,na,0,0
493,CATY US Equity,Cathay General Bancorp,25.77,$2.05B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/caty,na,na,0,0
494,CATYW US Equity,Cathay General Bancorp,6.495,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/catyw,na,na,0,0
495,CVCO US Equity,"Cavco Industries, Inc.",72.71,$644.15M,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/cvco,na,na,0,0
496,CAVM US Equity,"Cavium, Inc.",66.96,$3.61B,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/cavm,na,na,0,0
497,CBFV US Equity,"CB Financial Services, Inc.",20.22,$88.68M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbfv,na,na,0,0
498,CNLM US Equity,CB Pharma Acquisition Corp.,9.75,$51.53M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/cnlm,na,na,0,0
499,CNLMR US Equity,CB Pharma Acquisition Corp.,0.28,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/cnlmr,na,na,0,0
500,CNLMU US Equity,CB Pharma Acquisition Corp.,10.1765,n/a,2014,n/a,n/a,http://www.nasdaq.com/symbol/cnlmu,na,na,0,0
501,CNLMW US Equity,CB Pharma Acquisition Corp.,0.19,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/cnlmw,na,na,0,0
502,CBDE US Equity,CBD Energy Limited,0.9,$1.83M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/cbde,na,na,0,0
503,CBOE US Equity,"CBOE Holdings, Inc.",62.61,$5.28B,2010,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cboe,na,na,0,0
504,CDK US Equity,"CDK Global, Inc.",48,$7.72B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cdk,na,na,0,0
505,CDW US Equity,CDW Corporation,37.75,$6.5B,2013,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/cdw,na,na,0,0
506,CECE US Equity,CECO Environmental Corp.,14.44,$373.5M,n/a,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/cece,na,na,0,0
507,CPXX US Equity,Celator Pharmaceuticals Inc.,2.9,$97.68M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cpxx,na,na,0,0
508,CELG US Equity,Celgene Corporation,123.43,$98.58B,1987,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/celg,na,na,0,0
509,CELGZ US Equity,Celgene Corporation,3.18,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/celgz,na,na,0,0
510,CLDN US Equity,Celladon Corporation,16.3,$379.87M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cldn,na,na,0,0
511,CLDX US Equity,"Celldex Therapeutics, Inc.",21.21,$1.9B,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/cldx,na,na,0,0
512,CLRB US Equity,"Cellectar Biosciences, Inc.",2.86,$21.63M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clrb,na,na,0,0
513,CLRBW US Equity,"Cellectar Biosciences, Inc.",0.56,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clrbw,na,na,0,0
514,CBMG US Equity,"Cellular Biomedicine Group, Inc.",25.79,$256.51M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cbmg,na,na,0,0
515,ICEL US Equity,"Cellular Dynamics International, Inc.",5.36,$84.76M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/icel,na,na,0,0
516,CLSN US Equity,Celsion Corporation,3.15,$62.93M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clsn,na,na,0,0
517,CLTX US Equity,Celsus Therapeutics Plc,1.09,$6.06M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cltx,na,na,0,0
518,CEMP US Equity,"Cempra, Inc.",29.61,$1.27B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cemp,na,na,0,0
519,CSFL US Equity,"CenterState Banks, Inc.",11.88,$537.18M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/csfl,na,na,0,0
520,CETV US Equity,Central European Media Enterprises Ltd.,2.73,$369.47M,1994,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/cetv,na,na,0,0
521,CFBK US Equity,Central Federal Corporation,1.3,$20.57M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cfbk,na,na,0,0
522,CENT US Equity,Central Garden & Pet Company,9.08,$453.3M,1993,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/cent,na,na,0,0
523,CENTA US Equity,Central Garden & Pet Company,9.72,$485.25M,n/a,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/centa,na,na,0,0
524,CVCY US Equity,Central Valley Community Bancorp,10.77,$118.25M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cvcy,na,na,0,0
525,CNLI US Equity,Centre Lane Investment Corp.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cnli,na,na,0,0
526,CENX US Equity,Century Aluminum Company,22.16,$1.97B,1996,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/cenx,na,na,0,0
527,CNBKA US Equity,"Century Bancorp, Inc.",38.43,$213.97M,1987,Finance,Major Banks,http://www.nasdaq.com/symbol/cnbka,na,na,0,0
528,CNTY US Equity,"Century Casinos, Inc.",6.09,$148.48M,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/cnty,na,na,0,0
529,CPHD US Equity,CEPHEID,58.59,$4.13B,2000,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/cphd,na,na,0,0
530,CRNT US Equity,Ceragon Networks Ltd.,1.2,$96.73M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/crnt,na,na,0,0
531,CERE US Equity,"Ceres, Inc.",0.373,$18M,2012,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/cere,na,na,0,0
532,CERN US Equity,Cerner Corporation,72.075,$24.69B,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/cern,na,na,0,0
533,CERU US Equity,Cerulean Pharma Inc.,6.63,$133.43M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ceru,na,na,0,0
534,CERS US Equity,Cerus Corporation,5.5,$430.48M,1997,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cers,na,na,0,0
535,KOOL US Equity,Cesca Therapeutics Inc.,0.938,$37.79M,n/a,Capital Goods,Medical Specialities,http://www.nasdaq.com/symbol/kool,na,na,0,0
536,CEVA US Equity,"CEVA, Inc.",19.2,$387.68M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ceva,na,na,0,0
537,CYOU US Equity,Changyou.com Limited,26.02,$1.37B,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyou,na,na,0,0
538,HOTR US Equity,"Chanticleer Holdings, Inc.",2.7,$19.55M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/hotr,na,na,0,0
539,HOTRW US Equity,"Chanticleer Holdings, Inc.",0.2999,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/hotrw,na,na,0,0
540,CTHR US Equity,Charles & Colvard Ltd,1.5884,$32.34M,1997,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/cthr,na,na,0,0
541,CACG US Equity,Chart Acquisition Corp.,9.77,$85.83M,2013,Finance,Business Services,http://www.nasdaq.com/symbol/cacg,na,na,0,0
542,CACGU US Equity,Chart Acquisition Corp.,10.02,n/a,2012,Finance,Business Services,http://www.nasdaq.com/symbol/cacgu,na,na,0,0
543,CACGW US Equity,Chart Acquisition Corp.,0.55,n/a,2013,Finance,Business Services,http://www.nasdaq.com/symbol/cacgw,na,na,0,0
544,GTLS US Equity,"Chart Industries, Inc.",31.07,$947.05M,2006,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/gtls,na,na,0,0
545,CHTR US Equity,"Charter Communications, Inc.",175.89,$19.7B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/chtr,na,na,0,0
546,CHFN US Equity,Charter Financial Corp.,11.53,$194.43M,2010,Finance,Savings Institutions,http://www.nasdaq.com/symbol/chfn,na,na,0,0
547,CHKP US Equity,Check Point Software Technologies Ltd.,82.48,$15.74B,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chkp,na,na,0,0
548,CHEKU US Equity,Check-Cap Ltd.,6.1,n/a,2015,n/a,n/a,http://www.nasdaq.com/symbol/cheku,na,na,0,0
549,CEMI US Equity,"Chembio Diagnostics, Inc.",4.14,$39.79M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cemi,na,na,0,0
550,CHFC US Equity,Chemical Financial Corporation,30.09,$985.83M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chfc,na,na,0,0
551,CCXI US Equity,"ChemoCentryx, Inc.",8.27,$358.43M,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ccxi,na,na,0,0
552,CHMG US Equity,Chemung Financial Corp,27.1199,$125.26M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chmg,na,na,0,0
553,CHKE US Equity,Cherokee Inc.,18.36,$154.83M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/chke,na,na,0,0
554,CHEV US Equity,Cheviot Financial Corp,14.4,$96.59M,2004,Finance,Savings Institutions,http://www.nasdaq.com/symbol/chev,na,na,0,0
555,CBNK US Equity,"Chicopee Bancorp, Inc.",16.16,$85.82M,n/a,Finance,Banks,http://www.nasdaq.com/symbol/cbnk,na,na,0,0
556,PLCE US Equity,"Children&#39;s Place, Inc. (The)",56.96,$1.21B,1997,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/plce,na,na,0,0
557,CMRX US Equity,"Chimerix, Inc.",41.75,$1.7B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cmrx,na,na,0,0
558,CADC US Equity,"China Advanced Construction Materials Group, Inc.",4.24,$8.82M,n/a,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/cadc,na,na,0,0
559,CALI US Equity,China Auto Logistics Inc.,1.31,$5.29M,n/a,Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/cali,na,na,0,0
560,CAAS US Equity,"China Automotive Systems, Inc.",6.78,$217.78M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/caas,na,na,0,0
561,CBAK US Equity,"China BAK Battery, Inc.",2.4,$30.29M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cbak,na,na,0,0
562,CBPO US Equity,"China Biologic Products, Inc.",77.25,$1.9B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cbpo,na,na,0,0
563,CCCL US Equity,"China Ceramics Co., Ltd.",0.8799,$17.98M,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cccl,na,na,0,0
564,CCCR US Equity,"China Commercial Credit, Inc.",2.9801,$36.52M,2013,Finance,Major Banks,http://www.nasdaq.com/symbol/cccr,na,na,0,0
565,JRJC US Equity,China Finance Online Co. Limited,5.8655,$130.38M,2004,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/jrjc,na,na,0,0
566,CHOP US Equity,China Gerui Advanced Materials Group Limited,0.85,$5.05M,n/a,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/chop,na,na,0,0
567,HGSH US Equity,"China HGS Real Estate, Inc.",3.2,$144.16M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/hgsh,na,na,0,0
568,CHLN US Equity,"China Housing & Land Development, Inc.",0.3401,$11.84M,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/chln,na,na,0,0
569,CNIT US Equity,"China Information Technology, Inc.",3.3201,$99.52M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnit,na,na,0,0
570,CJJD US Equity,"China Jo-Jo Drugstores, Inc.",2.7,$41.54M,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/cjjd,na,na,0,0
571,HTHT US Equity,"China Lodging Group, Limited",22.07,$1.37B,2010,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/htht,na,na,0,0
572,CMGE US Equity,China Mobile Games and Entertainment Group Limited,18.39,$575.13M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cmge,na,na,0,0
573,CHNR US Equity,"China Natural Resources, Inc.",2.1001,$52.32M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/chnr,na,na,0,0
574,CREG US Equity,China Recycling Energy Corporation,0.7198,$59.75M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/creg,na,na,0,0
575,CRDI US Equity,China Resources Development Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crdi,na,na,0,0
576,CPGI US Equity,"China Shengda Packaging Group, Inc.",1.01,$39.18M,2010,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/cpgi,na,na,0,0
577,CSUN US Equity,"China Sunergy Co., Ltd.",1.83,$24.47M,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/csun,na,na,0,0
578,CNTF US Equity,China TechFaith Wireless Communication Technology Limited,1.02,$53.99M,2005,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cntf,na,na,0,0
579,CXDC US Equity,China XD Plastics Company Limited,4.26,$211.3M,n/a,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/cxdc,na,na,0,0
580,CNYD US Equity,"China Yida Holding, Co.",2.2101,$8.65M,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/cnyd,na,na,0,0
581,CCIH US Equity,ChinaCache International Holdings Ltd.,10.46,$244.81M,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/ccih,na,na,0,0
582,CNET US Equity,"ChinaNet Online Holdings, Inc.",1.59,$45.92M,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/cnet,na,na,0,0
583,IMOS US Equity,ChipMOS TECHNOLOGIES (Bermuda) LTD.,23.65,$699.69M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/imos,na,na,0,0
584,CHSCL US Equity,CHS Inc,26.6368,n/a,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscl,na,na,0,0
585,CHSCM US Equity,CHS Inc,25.46,$483.74M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscm,na,na,0,0
586,CHSCN US Equity,CHS Inc,26.6697,$448.05M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscn,na,na,0,0
587,CHSCO US Equity,CHS Inc,28.63,$324.07M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chsco,na,na,0,0
588,CHSCP US Equity,CHS Inc,31,$224.2M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscp,na,na,0,0
589,CHDN US Equity,"Churchill Downs, Incorporated",104,$1.8B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/chdn,na,na,0,0
590,CHUY US Equity,"Chuy&#39;s Holdings, Inc.",23.35,$383.9M,2012,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/chuy,na,na,0,0
591,CHYR US Equity,ChyronHego Corporation,2.8116,$113.54M,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/chyr,na,na,0,0
592,CIFC US Equity,CIFC Corp.,7.82,$196.65M,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cifc,na,na,0,0
593,CMCT US Equity,CIM Commercial Trust Corporation,16.98,$1.66B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cmct,na,na,0,0
594,CMPR US Equity,Cimpress N.V,82.93,$2.7B,n/a,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/cmpr,na,na,0,0
595,CINF US Equity,Cincinnati Financial Corporation,52.58,$8.6B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cinf,na,na,0,0
596,CIDM US Equity,Cinedigm Corp,1.56,$120.05M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cidm,na,na,0,0
597,CTAS US Equity,Cintas Corporation,82.47,$9.68B,1983,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/ctas,na,na,0,0
598,CPHR US Equity,Cipher Pharmaceuticals Inc.,13.01,$336.84M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cphr,na,na,0,0
599,CRUS US Equity,"Cirrus Logic, Inc.",29.82,$1.87B,1989,Technology,Semiconductors,http://www.nasdaq.com/symbol/crus,na,na,0,0
600,CISAW US Equity,CIS Acquisition Ltd.,0.34,n/a,2013,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cisaw,na,na,0,0
601,CSCO US Equity,"Cisco Systems, Inc.",29.61,$151.41B,1990,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/csco,na,na,0,0
602,CTRN US Equity,"Citi Trends, Inc.",26.42,$411.58M,2005,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/ctrn,na,na,0,0
603,CZNC US Equity,Citizens & Northern Corp,19.32,$237.49M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cznc,na,na,0,0
604,CZWI US Equity,"Citizens Community Bancorp, Inc.",9.18,$47.68M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/czwi,na,na,0,0
605,CZFC US Equity,Citizens First Corporation,12.327,$24.27M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/czfc,na,na,0,0
606,CIZN US Equity,Citizens Holding Company,18.94,$92.38M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cizn,na,na,0,0
607,CTXS US Equity,"Citrix Systems, Inc.",64.92,$10.45B,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ctxs,na,na,0,0
608,CHCO US Equity,City Holding Company,46.14,$702.14M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chco,na,na,0,0
609,CDTI US Equity,"Clean Diesel Technologies, Inc.",2.03,$25.45M,n/a,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/cdti,na,na,0,0
610,CLNE US Equity,Clean Energy Fuels Corp.,4.92,$443.07M,2007,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/clne,na,na,0,0
611,CLNT US Equity,"Cleantech Solutions International, Inc.",3.23,$12.47M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clnt,na,na,0,0
612,CLFD US Equity,"Clearfield, Inc.",13.48,$184.51M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/clfd,na,na,0,0
613,CLRO US Equity,"ClearOne, Inc.",10.28,$93.99M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/clro,na,na,0,0
614,CLIR US Equity,ClearSign Combustion Corporation,6.79,$86.04M,2012,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clir,na,na,0,0
615,CBLI US Equity,"Cleveland BioLabs, Inc.",3.7,$12.71M,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/cbli,na,na,0,0
616,CKSW US Equity,ClickSoftware Technologies Ltd.,8.24,$267.76M,2000,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cksw,na,na,0,0
