,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,description,website,market_cap,net_income_before_eo
1722,MLNX US Equity,"Mellanox Technologies, Ltd.",46.47,$2.1B,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/mlnx,na,na,0,0
1723,MELR US Equity,"Melrose Bancorp, Inc.",13.49,$38.17M,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/melr,na,na,0,0
1724,MEMP US Equity,Memorial Production Partners LP,17.41,$1.51B,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/memp,na,na,0,0
1725,MRD US Equity,Memorial Resource Development Corp.,19.3,$3.74B,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mrd,na,na,0,0
1726,MENT US Equity,Mentor Graphics Corporation,25.3,$2.91B,1984,Technology,EDP Services,http://www.nasdaq.com/symbol/ment,na,na,0,0
1727,MTSL US Equity,MER Telemanagement Solutions Ltd.,1.6,$7.45M,1997,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/mtsl,na,na,0,0
1728,MELI US Equity,"MercadoLibre, Inc.",130.92,$5.78B,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/meli,na,na,0,0
1729,MBWM US Equity,Mercantile Bank Corporation,19.21,$323.93M,1998,Finance,Major Banks,http://www.nasdaq.com/symbol/mbwm,na,na,0,0
1730,MERC US Equity,Mercer International Inc.,14.42,$926.82M,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/merc,na,na,0,0
1731,MBVT US Equity,"Merchants Bancshares, Inc.",28.74,$181.97M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mbvt,na,na,0,0
1732,MRCY US Equity,Mercury Systems Inc,17.06,$582.59M,1998,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/mrcy,na,na,0,0
1733,MRGE US Equity,Merge Healthcare Incorporated.,4.47,$440.75M,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/mrge,na,na,0,0
1734,EBSB US Equity,"Meridian Bancorp, Inc.",12.41,$678.93M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ebsb,na,na,0,0
1735,VIVO US Equity,Meridian Bioscience Inc.,19.34,$806.59M,1986,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/vivo,na,na,0,0
1736,MMSI US Equity,"Merit Medical Systems, Inc.",17.84,$774.3M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmsi,na,na,0,0
1737,MACK US Equity,"Merrimack Pharmaceuticals, Inc.",11.01,$1.17B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mack,na,na,0,0
1738,MERU US Equity,"Meru Networks, Inc.",2.73,$64.97M,2010,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/meru,na,na,0,0
